ID,Agree_IN,ASQ1,ASQ1A,ASQ1B,ASQ1C,ASQ2A,ASQ2AC,SQ1,SQ2,SQ3,SQ4,SQ5,SQ5A,SQ5AA,AQ1,ATQ1_7,AQ1A,AQ1B,Q1,Q1A,RQ1A,Q1B_1,Q1B_2,Q1B_3,Q1B_4,Q1B_5,Q1B_6,Q1B_7,Q1B_8,TQ1B_8,Q2,RQ2,Q3,RQ3,Q4,Q5,Q5A,Q6,Q6A,Q7,RQ7,Q7A_1_1,Q7A_1_2,Q7A_1_3,Q7A_1_4,TQ7A_1_4,Q7A_1_5,Q7A_2_1,Q7A_2_2,Q7A_2_3,Q7A_2_4,TQ7A_2_4,Q7A_2_5,Q7A_3_1,Q7A_3_2,Q7A_3_3,Q7A_3_4,TQ7A_3_4,Q7A_3_5,Q7A_4_1,Q7A_4_2,Q7A_4_3,Q7A_4_4,TQ7A_4_4,Q7A_4_5,Q7A_5_1,Q7A_5_2,Q7A_5_3,Q7A_5_4,TQ7A_5_4,Q7A_5_5,Q7A_6_1,Q7A_6_2,Q7A_6_3,Q7A_6_4,TQ7A_6_4,Q7A_6_5,Q7A_7_1,Q7A_7_2,Q7A_7_3,Q7A_7_4,TQ7A_7_4,Q7A_7_5,Q7A_8_1,Q7A_8_2,Q7A_8_3,Q7A_8_4,TQ7A_8_4,Q7A_8_5,Q7A_9_1,Q7A_9_2,Q7A_9_3,Q7A_9_4,TQ7A_9_4,Q7A_9_5,Q7A_10_1,Q7A_10_2,Q7A_10_3,Q7A_10_4,TQ7A_10_4,Q7A_10_5,Q7A_11_1,Q7A_11_2,Q7A_11_3,Q7A_11_4,TQ7A_11_4,Q7A_11_5,Q7A_12_1,Q7A_12_2,Q7A_12_3,Q7A_12_4,TQ7A_12_4,Q7A_12_5,Q7A_13_1,Q7A_13_2,Q7A_13_3,Q7A_13_4,TQ7A_13_4,Q7A_13_5,Q7A_14_1,Q7A_14_2,Q7A_14_3,Q7A_14_4,TQ7A_14_4,Q7A_14_5,Q7A_15_1,Q7A_15_2,Q7A_15_3,Q7A_15_4,TQ7A_15_4,Q7A_15_5,Q7A_16_1,Q7A_16_2,Q7A_16_3,Q7A_16_4,TQ7A_16_4,Q7A_16_5,Q7A_17_1,Q7A_17_2,Q7A_17_3,Q7A_17_4,TQ7A_17_4,Q7A_17_5,Q7A_18_1,Q7A_18_2,Q7A_18_3,Q7A_18_4,TQ7A_18_4,Q7A_18_5,Q7A_19_1,Q7A_19_2,Q7A_19_3,Q7A_19_4,TQ7A_19_4,Q7A_19_5,Q7A_20_1,Q7A_20_2,Q7A_20_3,Q7A_20_4,TQ7A_20_4,Q7A_20_5,DQ1,DQ2,TDQ2_10,DQ3,DQ3A,DQ4,DQ4A_1,DQ4A_2,DQ4A_3,DQ4A_4,DQ4A_5,DQ4A_6,DQ7A_7,TDQ4A_7,DQ5,TDQ5_11,DQ6,TDQ6_11,D_SQ1,D_SQ2,D_SQ3,D_SQ4,D_SQ5AA,D_DQ1,D_DQ2,D_DQ3,D_DQ3A,D_DQ4,D_DQ5,D_DQ6,WT
417,Y,,,,,,,2,50,11,2,2021-12-16 오후 6:13:06,3,5,,,,,1,1,2,,2,,,,,,,,2,2,0,0,2,1,1,5,4,2,2,11,2,3,1,,1,12,1,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,2,1,,,,,,,,,4,,4,,2,9,3,2,1,3,,2,2,1,2,2,1.25
418,Y,,,,,,,1,32,1,1,2021-12-16 오후 6:25:27,3,5,,,,,1,12,6,,2,,,,,,,,3,3,1,1,1,1,1,1,1,1,1,7,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,3,1,2,,,,,,,5,,8,,1,7,1,1,1,3,,1,,3,3,4,1.17
419,Y,,,,,,,1,53,9,2,2021-12-16 오후 6:13:40,3,5,,,,,1,6,4,,,3,4,,6,,,,1,1,0,0,3,1,2,1,3,5,4,8,1,2,2,,2,9,1,3,2,,2,9,1,3,2,,2,9,1,3,2,,2,9,2,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,1,4,1,2,,,,,,,10,,11,100000000,1,9,2,2,1,1,1,3,1,4,4,4,1.18
420,Y,,,,,,,2,41,13,2,2021-12-16 오후 6:12:31,3,5,,,,,1,8,4,,2,,,,,,,,5,4,5,4,5,2,3,2,3,10,5,3,1,3,3,,2,3,1,2,3,,1,3,1,1,3,,1,3,1,2,4,,1,3,1,1,3,,1,4,1,2,3,,1,3,2,1,3,,1,3,1,2,3,,1,4,1,2,3,,1,4,1,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,4,2,4,1,2,,,,,,,7,,8,,2,8,4,2,1,2,1,3,2,4,4,4,1.05
421,Y,,,,,,,2,46,5,1,2021-12-16 오후 6:14:44,3,5,,,,,1,8,4,,2,,,,,,,,2,2,0,0,4,1,1,1,4,5,4,9,1,2,2,,2,9,2,5,2,,2,9,2,5,2,,2,8,2,5,2,,2,8,2,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,2,,3,,,3,,,6,,,4,,7,,2,8,4,1,1,1,2,1,,3,2,4,1.05
422,Y,,,,,,,2,63,1,1,2021-12-16 오후 6:14:42,3,5,,,,,1,6,4,,2,,,,,,,,3,3,12,4,2,1,2,2,2,20,5,10,2,1,2,,2,10,2,1,2,,2,10,2,1,2,,2,11,1,1,2,,2,12,2,1,2,,2,9,2,1,2,,2,10,1,1,2,,2,11,2,1,2,,2,10,1,1,2,,2,10,2,1,2,,2,12,1,1,2,,2,10,1,1,2,,2,11,1,1,2,,2,11,1,1,2,,2,11,1,1,2,,2,11,1,1,2,,2,9,1,1,2,,2,9,2,1,2,,2,9,2,1,2,,2,11,1,1,2,,2,2,9,,4,2,2,1,,,,,,,,3,,4,,2,10,1,1,1,2,4,3,2,2,2,2,1.17
423,Y,,,,,,,1,39,16,2,2021-12-16 오후 6:12:57,3,5,,,,,1,8,4,,2,,,,,,,,3,3,3,3,4,3,4,3,4,2,2,7,1,2,9,,2,7,1,3,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,3,,,3,,,,,,2,,4,,1,7,6,2,1,1,1,1,,3,1,2,1.26
424,Y,,,,,,,2,63,9,2,2021-12-16 오후 6:14:31,3,5,,,,,1,6,4,,2,,,,,,,,2,2,1,1,2,3,3,1,4,3,3,9,2,3,5,,2,10,2,3,5,,2,10,2,3,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,2,1,,,,,,,,5,,6,,2,10,2,2,1,3,,1,,2,3,3,1.22
425,Y,,,,,,,2,64,9,2,2021-12-16 오후 6:16:18,3,5,,,,,1,5,3,,2,,,,,,,,2,2,0,0,2,1,1,1,1,4,3,10,2,1,7,,2,11,2,1,7,,2,10,2,1,6,,2,11,2,1,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,5,2,2,1,,,,,,,,6,,10,,2,10,2,2,1,3,,4,2,2,3,4,1.22
426,Y,,,,,,,2,45,14,2,2021-12-16 오후 6:13:46,3,5,,,,,1,2,2,,2,,,,,,,,1,1,0,0,3,2,3,1,2,3,3,8,1,3,1,,1,5,2,3,1,,2,4,1,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,1,4,1,2,,,,,,,1,,9,,2,8,4,2,1,3,,3,1,4,1,4,1.05
427,Y,,,,,,,2,58,9,2,2021-12-16 오후 6:14:40,3,5,,,,,1,10,5,,2,,,,,,,,3,3,0,0,1,1,1,1,4,3,3,9,1,1,1,,2,8,2,1,10,은행,2,6,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,2,,4,1,2,,,,,,,3,,10,,2,9,2,2,1,1,3,1,,4,2,4,1.19
428,Y,,,,,,,1,39,1,1,2021-12-16 오후 6:14:20,3,5,,,,,1,15,6,,2,,,,,,,,1,1,0,0,4,1,3,3,4,10,5,7,1,1,7,,2,7,1,1,7,,2,7,1,1,7,,2,7,1,1,7,,2,7,1,1,7,,2,7,1,1,7,,2,7,1,1,7,,2,7,1,1,7,,2,7,1,1,7,,2,7,1,1,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,3,1,3,,,3,,,,,,5,,6,,1,7,1,1,1,1,2,2,1,3,3,3,1.17
429,Y,,,,,,,1,41,1,1,2021-12-16 오후 6:16:40,3,5,,,,,1,5,3,,2,,,,,,,,1,1,1,1,2,1,1,1,1,5,4,7,2,3,1,,2,8,1,3,2,,2,10,2,2,2,,2,7,2,3,2,,2,9,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,2,2,,,,,,6,,,7,,8,,1,8,1,1,1,1,1,3,2,2,4,4,1.19
430,Y,,,,,,,2,40,1,1,2021-12-16 오후 6:15:26,3,5,,,,,1,10,5,,2,,,,,,,,3,3,1,1,1,1,1,1,2,3,3,6,2,3,2,,2,9,2,2,2,,2,3,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,1,,,,,,,,,6,,6,,2,8,1,1,1,1,2,3,2,1,3,3,1.14
431,Y,,,,,,,2,60,3,1,2021-12-16 오후 6:19:29,3,5,,,,,1,24,6,1,,,,,,,,,2,2,0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,3,1,2,,,,,,,1,,4,,2,10,5,1,1,3,,1,,3,1,2,1.29
432,Y,,,,,,,1,40,14,2,2021-12-16 오후 6:17:27,3,5,,,,,1,10,5,,2,,,,,,,,3,3,1,1,3,1,2,1,3,2,2,7,2,3,1,,2,3,2,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,5,1,3,1,2,,,,,,,7,,8,,1,8,4,2,1,1,1,4,1,3,4,4,1.11
434,Y,,,,,,,1,63,9,2,2021-12-16 오후 6:34:15,3,5,,,,,1,13,6,,2,,,,,,,,2,2,0,0,3,1,1,2,1,8,4,10,1,3,2,,2,9,1,3,2,,2,8,1,3,2,,2,8,1,3,2,,2,8,2,2,2,,2,9,2,3,1,,1,6,2,3,1,,1,11,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,1,4,1,2,,,,,,,6,,7,,1,10,2,2,1,1,1,2,1,4,3,4,1.16
435,Y,,,,,,,2,51,1,1,2021-12-16 오후 6:20:40,3,5,,,,,1,9,5,,,3,4,,,,,,1,1,1,1,4,1,1,1,4,10,5,7,2,1,2,,2,8,1,1,2,,2,9,1,1,2,,2,10,1,1,2,,2,7,1,1,2,,2,8,1,1,2,,2,9,1,1,2,,2,10,1,1,2,,2,7,1,1,2,,2,8,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,4,1,3,1,2,,,,,,,8,,9,,2,9,1,1,1,1,3,3,1,3,4,4,1.17
436,Y,,,,,,,2,65,3,1,2021-12-16 오후 6:20:44,3,5,,,,,1,3,3,,2,,,,,,,,4,3,3,3,2,2,2,3,5,3,3,10,2,4,1,,1,8,1,2,1,,1,8,1,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,2,,2,,,,,,,1,,2,,2,10,5,1,1,3,,1,,2,1,1,1.29
438,Y,,,,,,,1,38,1,1,2021-12-16 오후 6:21:23,3,5,,,,,1,12,6,,2,,,,,,,,1,1,1,1,4,4,4,1,4,8,4,7,1,3,2,,2,7,1,2,2,,2,7,1,2,2,,2,8,1,2,2,,2,8,1,2,2,,2,8,1,2,2,,2,8,1,2,2,,2,7,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,1,3,,,3,,,,,,10,,11,150000000,1,7,1,1,1,1,2,3,1,3,4,4,1.17
439,Y,,,,,,,1,31,11,2,2021-12-16 오후 6:21:56,3,5,,,,,1,4,3,,2,,,,,,,,0,0,0,0,1,2,3,2,4,2,2,9,2,2,1,,1,9,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,2,3,,,3,,,,,,5,,8,,1,7,3,2,1,3,,3,2,3,3,4,1.07
440,Y,,,,,,,2,60,4,1,2021-12-16 오후 6:25:40,3,5,,,,,1,1,2,,2,,,,,,,,2,2,1,1,3,2,2,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,4,1,2,,,,,,,5,,6,,2,10,2,1,1,3,,1,,4,3,3,1.22
442,Y,,,,,,,1,68,9,2,2021-12-16 오후 6:25:32,3,5,,,,,1,15,6,,,3,,,,,,,1,1,1,1,3,4,3,1,4,2,2,10,1,4,5,,1,10,2,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,1,2,1,,,,,,,,4,,5,,1,10,2,2,1,1,1,3,1,2,2,3,1.16
443,Y,,,,,,,2,63,11,2,2021-12-16 오후 6:23:42,3,5,,,,,1,10,5,,2,,,,,,,,1,1,0,0,3,1,2,1,3,8,4,9,1,2,2,,2,10,2,2,9,,2,11,1,1,9,,2,10,2,1,2,,2,7,1,1,2,,2,9,1,1,2,,2,9,1,1,2,,2,9,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,2,,2,1,,,,,,,,7,,9,,2,10,3,2,1,1,3,1,,2,4,4,1.25
444,Y,,,,,,,1,45,16,2,2021-12-16 오후 6:24:17,3,5,,,,,1,2,2,,2,,,,,,,,1,1,0,0,3,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,1,4,1,2,,,,,,,6,,8,,1,8,6,2,1,3,,3,1,4,3,4,1.15
445,Y,,,,,,,1,69,1,1,2021-12-16 오후 6:25:45,3,5,,,,,1,15,6,,2,,,,,,,,1,1,0,0,2,1,1,1,4,10,5,7,1,1,2,,1,9,1,1,2,,1,9,2,1,2,,2,9,2,1,2,,2,8,1,1,2,,2,11,1,1,2,,2,10,1,1,2,,2,7,2,1,2,,2,10,1,1,2,,2,8,2,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,4,1,3,1,2,,,,,,,7,,8,,1,10,1,1,1,1,4,3,1,3,4,4,1.13
446,Y,,,,,,,1,67,6,1,2021-12-16 오후 6:26:08,3,5,,,,,1,2,2,,,3,,5,,7,,,1,1,1,1,6,1,7,1,2,1,1,10,1,2,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,5,1,1,,,,,,,,,4,,4,,1,10,3,1,1,2,4,4,1,1,2,2,1.1
447,Y,,,,,,,2,69,6,1,2021-12-16 오후 6:30:02,3,5,,,,,1,5,3,,2,,,,,,,,2,2,1,1,2,1,2,2,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,2,1,,,,,,,,4,,6,,2,10,3,1,1,3,,1,,2,2,3,1.25
448,Y,,,,,,,1,65,9,2,2021-12-16 오후 6:26:09,3,5,,,,,1,10,5,,2,,,,,,,,3,3,1,1,2,2,2,1,3,6,4,10,1,2,2,,2,10,1,2,2,,2,10,1,2,2,,2,10,1,1,2,,2,9,1,1,2,,2,9,1,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,3,1,2,,,,,,,1,,5,,1,10,2,2,1,1,1,1,,3,1,3,1.16
449,Y,,,,,,,1,47,13,2,2021-12-16 오후 6:27:11,3,5,,,,,1,20,6,,2,,,,,,,,9,4,9,4,1,1,1,1,1,4,3,12,1,2,6,,2,11,1,2,6,,2,10,1,2,6,,2,9,1,2,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,2,,3,1,2,,,,,,,2,,4,,1,8,4,2,1,1,5,1,,3,1,2,1.11
450,Y,,,,,,,2,39,3,1,2021-12-16 오후 6:26:37,3,5,,,,,1,16,6,,2,,,,,,,,20,4,20,4,3,1,2,1,1,20,5,10,2,3,2,,1,10,2,3,2,,1,10,2,3,2,,1,10,2,3,2,,1,10,2,3,2,,1,11,2,3,2,,1,11,1,3,2,,1,11,1,3,2,,1,10,2,3,2,,1,10,2,3,2,,1,10,2,3,2,,1,9,2,3,2,,1,10,2,3,2,,1,9,2,3,2,,1,10,2,3,2,,1,11,2,3,2,,1,10,2,3,2,,1,9,2,3,2,,1,11,2,3,2,,1,9,2,3,2,,1,1,2,,4,1,1,,,,,,,,,5,,5,,2,7,5,1,1,1,1,3,1,1,3,3,0.99
451,Y,,,,,,,2,41,10,3,2021-12-16 오후 6:29:21,3,5,,,,,1,1,2,,2,,,,,,,,2,2,0,0,1,1,1,1,4,3,3,8,2,4,7,,2,11,2,4,1,,1,11,1,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,2,4,,,3,,,6,,,2,,3,,2,8,7,3,1,3,,3,2,4,1,2,1.4
452,Y,,,,,,,1,39,6,1,2021-12-16 오후 6:32:04,3,5,,,,,1,8,4,,2,,,,,,,,2,2,1,1,3,1,1,3,2,10,5,8,1,3,9,,2,8,1,4,2,,2,8,1,4,2,,2,7,1,4,2,,2,6,1,4,2,,2,9,2,2,5,,2,6,1,4,2,,2,2,1,3,1,,1,3,2,3,1,,1,7,2,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,2,,4,1,2,,,,,,,5,,6,,1,7,3,1,1,1,2,1,,4,3,3,1.07
453,Y,,,,,,,1,52,4,1,2021-12-16 오후 6:37:05,3,5,,,,,1,6,4,,2,,,,,,,,2,2,1,1,3,3,3,2,3,3,3,7,2,4,5,,2,10,1,4,5,,2,7,1,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,3,1,2,,,,,,,10,,11,130000000,1,9,2,1,1,1,1,1,,3,4,4,1.18
454,Y,,,,,,,1,54,10,2,2021-12-16 오후 6:38:34,3,5,,,,,1,10,5,,2,,,,,,,,1,1,1,1,3,1,1,1,1,10,5,8,1,1,2,,2,9,1,1,2,,2,9,1,1,2,,2,9,1,1,2,,2,8,1,1,2,,2,8,1,1,2,,2,10,1,1,2,,2,7,1,1,2,,2,7,2,1,2,,2,9,2,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,4,2,3,,,3,,,6,,,8,,9,,1,9,7,2,1,1,4,3,2,3,4,4,1.02
455,Y,,,,,,,1,67,12,3,2021-12-16 오후 6:39:01,3,5,,,,,1,6,4,,2,,,,,,,,3,3,2,2,2,2,1,2,1,3,3,10,1,3,5,,1,10,1,3,6,,1,9,1,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,5,1,5,1,2,3,,,,,,8,,11,140000000,1,10,3,3,1,1,5,4,1,5,4,4,1.1
456,Y,,,,,,,2,52,6,1,2021-12-16 오후 6:39:13,3,5,,,,,1,8,4,,2,,,,,,,,2,2,0,0,2,1,1,1,4,5,4,12,2,5,1,,1,9,1,4,1,,2,10,2,5,2,,2,11,1,3,2,,2,9,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,4,1,3,,,3,,,6,,,2,,4,,2,9,3,1,1,1,3,3,1,3,1,2,1.25
457,Y,,,,,,,1,39,11,3,2021-12-16 오후 6:40:21,3,5,,,,,1,5,3,,2,,,,,,,,1,1,1,1,3,1,2,1,3,3,3,7,2,1,6,,2,7,2,1,5,,2,8,1,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,1,1,,,,,,,,,8,,8,,1,7,3,3,1,1,1,3,1,1,4,4,1.07
458,Y,,,,,,,1,49,9,2,2021-12-16 오후 6:43:36,3,5,,,,,1,10,5,,2,,,,,,,,2,2,1,1,3,1,1,1,4,6,4,8,2,4,1,,1,6,2,3,1,,2,5,1,3,1,,1,8,1,3,5,,2,7,1,4,2,,2,6,2,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,2,4,1,2,,,,,,,9,,10,,1,8,2,2,1,1,1,3,2,4,4,4,1.18
459,Y,,,,,,,2,51,15,2,2021-12-16 오후 6:42:53,3,5,,,,,1,6,4,,2,,,,,,,,1,1,2,2,2,2,2,1,1,2,2,8,2,2,5,,2,8,1,2,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,2,4,1,2,,,,,,,4,,5,,2,9,5,2,1,3,,3,2,4,2,3,1.12
460,Y,,,,,,,1,20,10,3,2021-12-16 오후 6:49:53,3,5,,,,,1,2,2,,,3,,,,,,,1,1,0,0,3,1,1,1,4,2,2,6,1,3,9,,2,6,1,3,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,2,4,,,3,,,6,,,2,,9,,1,6,7,3,1,3,,2,2,4,1,4,1.33
461,Y,,,,,,,1,53,9,2,2021-12-16 오후 6:46:13,3,5,,,,,1,10,5,,,3,4,5,,,,,1,1,1,1,3,2,2,4,4,5,4,9,1,4,7,,2,9,1,4,7,,2,9,1,4,7,,2,9,1,4,7,,2,9,1,4,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,2,1,,,,,,,,,7,,7,,1,9,2,2,1,1,1,3,2,1,4,4,1.18
462,Y,,,,,,,1,37,9,2,2021-12-16 오후 6:45:36,3,5,,,,,1,3,3,,2,,,,,,,,1,1,0,0,3,3,2,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,1,1,,,,,,,,,4,,4,,1,7,2,2,1,1,1,2,1,1,2,2,1.24
463,Y,,,,,,,1,37,1,1,2021-12-16 오후 6:45:36,3,5,,,,,1,10,5,,2,,,,,,,,3,3,1,1,3,2,3,1,4,3,3,7,1,3,2,,2,7,2,4,2,,2,8,1,2,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,5,2,1,,,,,,,,,5,,5,,1,7,1,1,1,1,3,4,2,1,3,3,1.17
